Stock Name,Quarterly Results Date,QoQ % Net Profit Latest,QoQ % EPS Latest,YoY% EPS Latest,QoQ % Sales Latest,YoY % Sales Latest
KARMAENG,13/02/2025,-180,-180.7,-51.2,-78.9,-40.9
KAUSHALYA,13/02/2025,-87.3,-87.2,174.7,-20,-60
KELLTONTEC,13/02/2025,6.2,6.4,131.2,3,13.6
KERNEX,13/02/2025,4.4,4.4,311.9,-10.7,339.3
KIOCL,13/02/2025,30.9,30.1,-209.7,1015.9,-67.1
KIRIINDUS,13/02/2025,120.2,105.2,30.1,-34.4,-19.1
KNRCON,13/02/2025,-57.2,-43.7,76.1,-56.4,-14.9
KPIL,13/02/2025,11.1,7.5,-5.1,16.3,17.1
KRIDHANINF,13/02/2025,-100.2,-100.3,97.4,-100,-100
LAL,13/02/2025,-113.3,-112.9,-137.5,62.7,66.8
LASA,13/02/2025,271.6,274.6,650,-16.1,23.7
LAXMIDENTL,13/02/2025,-79,-88.6,NA,-47.3,NA
LINCOLN,13/02/2025,-21.2,-21.2,-26.4,-9.1,0
LLOYDSENGG,13/02/2025,20.3,16,-3.3,8.3,14
LLOYDSENT,13/02/2025,2.3,-16.7,-71.7,-24.7,-10.4
LUMAXTECH,13/02/2025,8.1,4.4,21.4,7.5,23.6
LUXIND,13/02/2025,-39,-37.4,57.2,-18.4,22.4
LYPSAGEMS,13/02/2025,-83.3,NA,-100,113.3,1062.7
MACPOWER,13/02/2025,-46.3,-46.2,-37.2,-15.5,-9.2
MAGNUM,13/02/2025,-5.1,-4.5,142.3,23.4,6.7
MAHASTEEL,13/02/2025,347.8,350,-52.6,29.1,10.8
MANAPPURAM,13/02/2025,-51.3,-50.7,-51.4,-2.8,10.8
MANGALAM,13/02/2025,-48.5,-48.5,120,10.9,-8.9
MCLEODRUSS,13/02/2025,-203.2,-203.2,-8,-18.1,6.3
MITCON,13/02/2025,-75,-63.5,-77.4,-20,-7.9
MKPL,13/02/2025,-22.5,-20,-71.4,17,-42.7
MMP,13/02/2025,85.5,85.7,18.6,16.2,19.5
MMTC,13/02/2025,-92.4,-93.9,-95.5,-84.3,-68.4
MODISONLTD,13/02/2025,-29.2,-29,35.6,-1.1,12.4
MOTOGENFIN,13/02/2025,-48.5,-50,-42.9,-1.7,7.4
MSPL,13/02/2025,186.4,185,-19,9.2,-8.2
MTEDUCARE,13/02/2025,41.4,40.8,22.1,4.4,10.1
NAGREEKEXP,13/02/2025,-24.3,-22.2,300,-23.4,-31.1
NARMADA,13/02/2025,-25.4,-23.5,62.5,34.1,12.3
NAZARA,13/02/2025,-15.9,25.1,0.3,67.6,66.8
NORBTEAEXP,13/02/2025,-115.2,-115.7,89.1,-38.6,36.5
ORICONENT,13/02/2025,-97.5,-97.6,66.7,21.2,-21.1
ORIENTLTD,13/02/2025,-7.1,-1.4,-53.1,-7.3,-21.5
PALASHSECU,13/02/2025,9.8,22,42.9,-17.7,44
PALREDTEC,13/02/2025,-76.4,-92.8,26.1,-28.8,7
PFC,13/02/2025,7.5,9.8,22.5,4.2,13.7
PIGL,13/02/2025,-26.9,-26,152.1,-39.3,123.7
PITTIENG,13/02/2025,-28.7,-32.9,53.2,-4.1,23.8
PLATIND,13/02/2025,-20.9,-18.8,-17.8,-6.2,52.4
QUADFUTURE,13/02/2025,29.6,30,NA,-58.4,NA
RADIANTCMS,13/02/2025,-0.3,-0.9,-3.4,3.1,5.1
RAJTV,13/02/2025,200,150,600,18.7,7.9
RAMAPHO,13/02/2025,16.9,-41.1,106.2,-14.3,54.5
RGL,13/02/2025,116,95.7,-24.1,72.5,8.3
ROLLT,13/02/2025,60,0,-200,-100,-100
RSYSTEMS,13/02/2025,-2.1,-2.1,-16.7,1.1,7.8
RUBYMILLS,13/02/2025,419.4,423.8,28.7,25,13.2
RUCHIRA,13/02/2025,-6.9,-6.9,120.8,1.5,5.8
SAKHTISUG,13/02/2025,20.4,20.2,44.9,90.4,-9.6
SANDESH,13/02/2025,-154.8,-154.9,-136.2,12.6,-13.1
SANGHVIMOV,13/02/2025,-37.4,-37.4,-85.1,-7.5,-28.8
SAURASHCEM,13/02/2025,86.1,86.2,-132.8,27.4,-15.5
SENCO,13/02/2025,97.3,-6.5,-85.9,38.7,22.5
SEPC,13/02/2025,92.2,50,-75,-22.2,-5.5
SIGMA,13/02/2025,1.7,3,-9.1,14.7,20
SIMBHALS,13/02/2025,72.4,72.6,-194.1,36.9,-27.6
SJVN,13/02/2025,-66.2,-66.4,-13.6,-34.6,23.5
SOTL,13/02/2025,-52.5,-52.4,-78,4.2,-1.4
SPMLINFRA,13/02/2025,-24,-36.4,366.7,-1.2,-26.2
SSDL,13/02/2025,-17.9,-17.8,NA,10.5,NA
SUMEETINDS,13/02/2025,NA,NA,NA,NA,NA
SUNFLAG,13/02/2025,22.9,23,35.6,3,4.5
TCPLPACK,13/02/2025,6.6,6.7,83.3,4.3,29.1
TEXMOPIPES,13/02/2025,198.7,95.5,83,71.5,-10.3
THEINVEST,13/02/2025,-71.9,-80.3,-36.9,-30.8,15.1
TITAGARH,13/02/2025,-22.2,-22.3,-16.9,-14.6,-5.5
TNPL,13/02/2025,-1737,-1731.6,-356.2,23.1,-9.3
TNTELE,13/02/2025,-5.5,-5.6,-25,-100,-100
TOTAL,13/02/2025,NA,NA,222.8,NA,52.6
TRU,13/02/2025,-1.6,0,-66.7,-10.5,29.9
TVSELECT,13/02/2025,49.6,50.7,59.3,-4.4,14.9
UBL,13/02/2025,-70.9,-71.1,-56.2,-5.5,9.6
UNIENTER,13/02/2025,-147.9,-147.4,-437.5,-83.3,7185.7
UNITECH,13/02/2025,6.5,8.3,10.9,1.2,21.1
VALIANTORG,13/02/2025,143.8,142.9,171.2,16.6,32.1
VENUSPIPES,13/02/2025,-24.2,-24.1,-23.6,1,11.6
VERANDA,13/02/2025,-569.1,-543.4,-1021.9,-28.5,7.9
VETO,13/02/2025,-39.5,-36.8,-23.7,1.9,-7.8
WEIZMANIND,13/02/2025,-12.3,-12.6,-22.4,-9.2,0.4
WEWIN,13/02/2025,-231.8,-261.1,-135.4,-5.7,14.8
WIPL,13/02/2025,-12.9,-11.9,-55.7,-0.7,-3.1
